,step,loss_value,learning_rate_value
0,102836,0.00025023359921760857,9.999999747378752e-05
1,111932,0.015049656853079796,9.999999747378752e-05
2,120584,0.0001360404712613672,9.999999747378752e-05
3,129628,0.015067139640450478,9.999999747378752e-05
4,139652,0.0001265054743271321,9.999999747378752e-05
5,148220,0.0006641116342507303,9.999999747378752e-05
6,158348,0.001089164288714528,9.999999747378752e-05
7,166080,0.0001622242562007159,9.999999747378752e-05
8,175632,6.977259909035638e-05,9.999999747378752e-05
9,185976,0.000767536461353302,9.999999747378752e-05
10,195016,0.004878589417785406,9.999999747378752e-05
11,203724,0.017260463908314705,9.999999747378752e-05
12,213820,0.008283779956400394,9.999999747378752e-05
13,223528,0.005712732207030058,9.999999747378752e-05
14,232388,0.004539978690445423,9.999999747378752e-05
15,241392,0.015801003202795982,9.999999747378752e-05
16,249928,0.0019488807301968336,9.999999747378752e-05
17,259484,0.05852097272872925,9.999999747378752e-05
18,267780,0.019618529826402664,9.999999747378752e-05
19,276476,0.001070557627826929,9.999999747378752e-05
20,285740,0.0012308909790590405,9.999999747378752e-05
21,294336,0.014268501661717892,9.999999747378752e-05
22,303848,0.0026385344099253416,9.999999747378752e-05
23,311528,0.001731882686726749,9.999999747378752e-05
24,321656,0.002394063165411353,9.999999747378752e-05
25,329620,0.0014206359628587961,9.999999747378752e-05
26,338804,0.0012270797742530704,9.999999747378752e-05
27,346616,0.00273868883959949,9.999999747378752e-05
28,356148,0.005094276741147041,9.999999747378752e-05
29,363792,0.0013216668739914894,9.999999747378752e-05
30,371960,0.002642426174134016,9.999999747378752e-05
31,380596,0.0024702781811356544,9.999999747378752e-05
32,389500,0.0018060669535771012,9.999999747378752e-05
33,398296,0.002698526717722416,9.999999747378752e-05
34,407456,0.0006636485923081636,9.999999747378752e-05
35,414728,0.0011921264231204987,9.999999747378752e-05
36,423984,0.019021950662136078,9.999999747378752e-05
37,431416,0.006879706401377916,9.999999747378752e-05
38,441116,0.00465417793020606,9.999999747378752e-05
39,448556,0.0013435551663860679,9.999999747378752e-05
40,457768,0.0035942953545600176,9.999999747378752e-05
41,465140,0.0013735342072322965,9.999999747378752e-05
42,474612,0.0015779095701873302,9.999999747378752e-05
43,482660,0.0013438614550977945,9.999999747378752e-05
44,491432,0.005802310071885586,9.999999747378752e-05
45,500512,0.0014127291506156325,9.999999747378752e-05
46,507344,0.006634711287915707,9.999999747378752e-05
47,516508,0.004904392175376415,9.999999747378752e-05
