,step,reward,episode_length
0,10240,-20.375,3583.75
1,20480,-20.47058868408203,3471.823486328125
2,30720,-20.5,3556.375
3,40960,-20.439023971557617,3618.731689453125
4,51200,-20.433961868286133,3626.84912109375
5,61440,-20.460317611694336,3617.015869140625
6,71680,-20.454545974731445,3627.0908203125
7,81920,-20.482759475708008,3619.793212890625
8,92160,-20.494844436645508,3629.690673828125
9,102400,-20.440000534057617,3686.489990234375
10,112640,-20.469999313354492,3709.699951171875
11,122880,-20.459999084472656,3721.510009765625
12,133120,-20.389999389648438,3740.5400390625
13,143360,-20.420000076293945,3772.510009765625
14,153600,-20.309999465942383,3867.60009765625
15,163840,-20.290000915527344,3888.5
16,174080,-20.229999542236328,3929.47998046875
17,184320,-20.139999389648438,4000.89990234375
18,194560,-19.959999084472656,4133.22021484375
19,204800,-19.860000610351562,4216.16015625
20,215040,-19.610000610351562,4455.7900390625
21,225280,-19.549999237060547,4509.89990234375
22,235520,-19.3700008392334,4734.169921875
23,245760,-19.020000457763672,5034.3798828125
24,256000,-18.860000610351562,5195.2900390625
25,266240,-18.700000762939453,5312.330078125
26,276480,-18.479999542236328,5553.5400390625
27,286720,-18.18000030517578,5812.43017578125
28,296960,-17.739999771118164,6043.830078125
29,307200,-17.18000030517578,6304.8798828125
30,317440,-16.510000228881836,6465.64990234375
31,327680,-15.829999923706055,6631.81982421875
32,337920,-15.0600004196167,6882.830078125
33,348160,-13.869999885559082,7085.64013671875
34,358400,-12.5,7273.10986328125
35,368640,-11.550000190734863,7455.22021484375
36,378880,-10.869999885559082,7551.1298828125
37,389120,-9.819999694824219,7651.31005859375
38,399360,-8.90999984741211,7794.47021484375
39,409600,-8.59000015258789,7822.60009765625
40,419840,-7.579999923706055,7875.2099609375
41,430080,-7.309999942779541,7916.33984375
42,440320,-7.070000171661377,7954.93994140625
43,450560,-5.980000019073486,8017.33984375
44,460800,-5.710000038146973,8094.8798828125
45,471040,-5.090000152587891,8182.18994140625
46,481280,-4.260000228881836,8004.43017578125
47,491520,-4.03000020980835,8046.1201171875
48,501760,-3.7899999618530273,8072.8701171875
49,512000,-3.359999895095825,8088.2001953125
50,522240,-3.549999952316284,8116.43994140625
51,532480,-3.190000057220459,8193.1201171875
52,542720,-3.119999885559082,8248.08984375
53,552960,-3.0,8304.01953125
54,563200,-3.0199999809265137,8335.1103515625
55,573440,-2.880000114440918,8424.580078125
56,583680,-2.740000009536743,8427.73046875
57,593920,-1.809999942779541,8464.41015625
58,604160,-2.4000000953674316,8495.16015625
59,614400,-2.4800000190734863,8537.1396484375
60,624640,-2.0199999809265137,8608.48046875
61,634880,-1.850000023841858,8683.2001953125
62,645120,-1.0099999904632568,8682.4404296875
63,655360,-0.07000000029802322,8704.830078125
64,665600,0.09000000357627869,8719.740234375
65,675840,0.07000000029802322,8757.7998046875
66,686080,0.0,8761.5
67,696320,0.07999999821186066,8783.2998046875
68,706560,-0.1899999976158142,8835.419921875
69,716800,0.23999999463558197,8805.1201171875
70,727040,0.6100000143051147,8803.9296875
71,737280,0.1599999964237213,8808.83984375
72,747520,0.8799999952316284,8790.1904296875
73,757760,0.8299999833106995,8789.1904296875
74,768000,0.4699999988079071,8893.98046875
75,778240,0.3799999952316284,8944.509765625
76,788480,0.75,8993.6103515625
77,798720,1.0299999713897705,9030.1201171875
78,808960,1.4299999475479126,9131.099609375
79,819200,2.259999990463257,9199.1298828125
80,829440,2.4700000286102295,9225.0400390625
81,839680,4.03000020980835,9199.7197265625
82,849920,5.070000171661377,9112.759765625
83,860160,5.610000133514404,9055.3095703125
84,870400,6.099999904632568,9043.0400390625
85,880640,6.570000171661377,9040.3701171875
86,890880,7.679999828338623,8953.1396484375
87,901120,8.529999732971191,8854.0703125
88,911360,9.979999542236328,8751.490234375
89,921600,10.699999809265137,8744.2802734375
90,931840,11.850000381469727,8615.740234375
91,942080,12.760000228881836,8566.7099609375
92,952320,13.609999656677246,8484.400390625
93,962560,14.180000305175781,8438.9501953125
94,972800,15.579999923706055,8284.8896484375
95,983040,16.110000610351562,8196.6298828125
96,993280,16.709999084472656,8062.0400390625
97,1003520,16.809999465942383,8015.64013671875
98,1013760,17.020000457763672,7948.490234375
99,1024000,17.1200008392334,7921.259765625
100,1034240,17.1200008392334,7908.419921875
101,1044480,17.170000076293945,7885.330078125
102,1054720,17.190000534057617,7897.16015625
103,1064960,16.860000610351562,7978.41015625
104,1075200,16.799999237060547,7996.58984375
105,1085440,16.860000610351562,8005.06005859375
106,1095680,16.81999969482422,8015.2900390625
107,1105920,16.639999389648438,8052.06982421875
108,1116160,16.18000030517578,8012.6201171875
109,1126400,16.09000015258789,8019.5400390625
110,1136640,15.6899995803833,8157.41015625
111,1146880,15.670000076293945,8159.330078125
112,1157120,15.579999923706055,8207.3203125
113,1167360,15.539999961853027,8247.01953125
114,1177600,15.479999542236328,8279.830078125
115,1187840,15.369999885559082,8309.2099609375
116,1198080,15.449999809265137,8293.240234375
117,1208320,15.149999618530273,8347.3798828125
118,1218560,15.270000457763672,8319.400390625
119,1228800,15.010000228881836,8389.8095703125
120,1239040,14.8100004196167,8462.1796875
121,1249280,14.859999656677246,8479.7099609375
122,1259520,14.819999694824219,8535.8203125
123,1269760,14.989999771118164,8496.9404296875
124,1280000,15.09000015258789,8437.330078125
125,1290240,15.149999618530273,8396.0498046875
126,1300480,15.270000457763672,8380.3798828125
127,1310720,15.079999923706055,8448.23046875
128,1320960,15.890000343322754,8389.169921875
129,1331200,16.06999969482422,8392.240234375
130,1341440,16.100000381469727,8362.08984375
131,1351680,16.59000015258789,8290.099609375
132,1361920,16.84000015258789,8225.080078125
133,1372160,17.010000228881836,8170.72998046875
134,1382400,17.079999923706055,8118.0400390625
135,1392640,17.200000762939453,8119.60009765625
136,1402880,17.18000030517578,8099.81005859375
137,1413120,17.34000015258789,8134.43017578125
138,1423360,17.440000534057617,8123.9599609375
139,1433600,17.889999389648438,7956.72021484375
140,1443840,17.959999084472656,7883.10986328125
141,1454080,18.010000228881836,7833.08984375
142,1464320,17.8700008392334,7900.10009765625
143,1474560,17.959999084472656,7860.080078125
144,1484800,17.989999771118164,7824.81982421875
145,1495040,17.690000534057617,7854.60009765625
146,1505280,17.610000610351562,7846.419921875
147,1515520,17.520000457763672,7864.6201171875
148,1525760,17.469999313354492,7857.47998046875
149,1536000,17.489999771118164,7840.97998046875
150,1546240,17.260000228881836,7840.97998046875
151,1556480,17.299999237060547,7799.85009765625
152,1566720,17.239999771118164,7802.89013671875
153,1576960,17.43000030517578,7707.0
154,1587200,17.229999542236328,7756.18017578125
155,1597440,17.110000610351562,7798.27001953125
156,1607680,16.8700008392334,7770.52978515625
157,1617920,16.479999542236328,7723.68994140625
158,1628160,16.030000686645508,7812.97021484375
159,1638400,15.949999809265137,7842.52001953125
160,1648640,15.789999961853027,7865.91015625
161,1658880,15.920000076293945,7817.77001953125
162,1669120,15.449999809265137,7910.60009765625
163,1679360,15.289999961853027,8002.8701171875
164,1689600,15.600000381469727,7938.91015625
165,1699840,15.75,7885.81005859375
166,1710080,15.819999694824219,7925.18017578125
167,1720320,15.489999771118164,8024.169921875
168,1730560,15.40999984741211,8049.85986328125
169,1740800,15.390000343322754,8047.0
170,1751040,15.050000190734863,8150.39990234375
171,1761280,14.960000038146973,8182.41015625
172,1771520,15.0,8181.9501953125
