,step,loss,learning_rate,approx_kl,clip_fraction,clip_range,explained_variance,entropy_loss,policy_gradient_loss,value_loss
0,10240,0.010317578911781311,0.0002500000118743628,0.0009163909708149731,0.0,0.10000000149011612,0.034370601177215576,-1.7890311479568481,-0.0013208446325734258,0.07335849106311798
1,20480,0.002966521307826042,0.0002500000118743628,0.002727546263486147,0.0556640625,0.10000000149011612,0.2157198190689087,-1.7762773036956787,-0.0033095059916377068,0.06132654845714569
2,30720,0.011800982058048248,0.0002500000118743628,0.0031137452460825443,0.072265625,0.10000000149011612,0.3150424361228943,-1.721909523010254,-0.002433072542771697,0.07214140892028809
3,40960,-0.006687551736831665,0.0002500000118743628,0.0027095191180706024,0.100830078125,0.10000000149011612,0.48925578594207764,-1.7698339223861694,-0.0037587827537208796,0.05441423878073692
4,51200,0.002025831490755081,0.0002500000118743628,0.0008452738402411342,0.0,0.10000000149011612,0.6335941553115845,-1.7542015314102173,-0.00017370498972013593,0.037448834627866745
5,61440,0.004073616117238998,0.0002500000118743628,0.002291490323841572,0.0234375,0.10000000149011612,0.6709125638008118,-1.7386648654937744,-0.00011982799333054572,0.04086094722151756
6,71680,-0.004413353279232979,0.0002500000118743628,0.0014652416575700045,0.047607421875,0.10000000149011612,0.8304316401481628,-1.6176002025604248,-0.0009419748093932867,0.027168218046426773
7,81920,-0.01476474292576313,0.0002500000118743628,0.0020678804721683264,0.0712890625,0.10000000149011612,0.8663314580917358,-1.7356001138687134,-0.0032015356700867414,0.032498955726623535
8,92160,-0.008121754974126816,0.0002500000118743628,0.0009829136542975903,0.109130859375,0.10000000149011612,0.7015858888626099,-1.731353998184204,-0.002768279053270817,0.04073694348335266
9,102400,0.009536072611808777,0.0002500000118743628,0.00279586692340672,0.08056640625,0.10000000149011612,0.701712965965271,-1.759675145149231,-0.0019465055083855987,0.04552562162280083
10,112640,0.004223279654979706,0.0002500000118743628,0.00026617542607709765,0.0,0.10000000149011612,0.7806925773620605,-1.7722584009170532,-0.001031403779052198,0.04765041172504425
11,122880,-0.008853208273649216,0.0002500000118743628,0.0024517967831343412,0.039306640625,0.10000000149011612,0.5593793988227844,-1.7524561882019043,-0.0013900951016694307,0.03859870508313179
12,133120,-0.0017066150903701782,0.0002500000118743628,0.0016857223818078637,0.029052734375,0.10000000149011612,0.8367131352424622,-1.7363544702529907,-0.0006228131242096424,0.029247593134641647
13,143360,-0.011381118558347225,0.0002500000118743628,0.0029515207279473543,0.10009765625,0.10000000149011612,0.8589702248573303,-1.7298626899719238,-0.0041818744502961636,0.020256903022527695
14,153600,-0.009288664907217026,0.0002500000118743628,0.002678176388144493,0.13525390625,0.10000000149011612,0.9011604189872742,-1.7279269695281982,-0.003916902933269739,0.02631676197052002
