,step,reward_value,episode_length_value,exploration_rate_value
0,10396,-20.700000762939453,3493.10009765625,0.9794158935546875
1,19684,-20.350000381469727,3612.89990234375,0.9610256552696228
2,28616,-20.299999237060547,3676.2333984375,0.9433403015136719
3,39080,-20.274999618530273,3707.47509765625,0.9226216077804565
4,47872,-20.200000762939453,3766.02001953125,0.9052134156227112
5,57220,-20.25,3767.5166015625,0.8867043852806091
6,67516,-20.200000762939453,3793.585693359375,0.8663183450698853
7,75356,-20.225000381469727,3761.77490234375,0.8507950901985168
8,85192,-20.244443893432617,3735.86669921875,0.8313198685646057
9,93872,-20.280000686645508,3726.659912109375,0.8141334652900696
10,103524,-20.200000762939453,3757.409912109375,0.7950224876403809
11,111544,-20.299999237060547,3722.72998046875,0.7791428565979004
12,121112,-20.329999923706055,3695.320068359375,0.7601982355117798
13,130548,-20.34000015258789,3710.429931640625,0.7415149807929993
14,140060,-20.3700008392334,3721.14990234375,0.7226812243461609
15,149692,-20.399999618530273,3706.110107421875,0.703609824180603
16,157528,-20.479999542236328,3651.469970703125,0.6880945563316345
17,166932,-20.459999084472656,3656.6201171875,0.6694746613502502
18,175740,-20.469999313354492,3664.080078125,0.6520348191261292
19,184900,-20.450000762939453,3671.5400390625,0.6338980197906494
20,195216,-20.520000457763672,3652.889892578125,0.6134723424911499
21,204200,-20.440000534057617,3714.330078125,0.5956839919090271
22,215144,-20.3799991607666,3767.820068359375,0.5740149021148682
23,226976,-20.31999969482422,3816.639892578125,0.55058753490448
24,235824,-20.31999969482422,3817.25,0.5330684781074524
25,246128,-20.219999313354492,3858.3701171875,0.5126665830612183
26,256524,-20.110000610351562,3942.969970703125,0.49208247661590576
27,267464,-20.06999969482422,4029.97998046875,0.47042128443717957
28,277764,-19.989999771118164,4108.1298828125,0.4500272870063782
29,288656,-19.950000762939453,4177.81982421875,0.42846113443374634
30,301204,-19.8799991607666,4277.14990234375,0.4036160707473755
31,312840,-19.799999237060547,4330.2001953125,0.3805767893791199
32,324516,-19.739999771118164,4380.58984375,0.35745832324028015
33,335488,-19.670000076293945,4418.31005859375,0.3357337713241577
34,346736,-19.610000610351562,4498.2900390625,0.3134627342224121
35,361848,-19.559999465942383,4634.31005859375,0.2835409641265869
36,375784,-19.3799991607666,4749.4599609375,0.25594767928123474
37,388012,-19.290000915527344,4852.68017578125,0.23173624277114868
38,403120,-19.18000030517578,4927.93994140625,0.2018224000930786
39,417444,-18.719999313354492,5147.5,0.17346088588237762
40,434364,-18.450000762939453,5316.83984375,0.13995927572250366
41,449940,-18.15999984741211,5557.5400390625,0.10911879688501358
42,468440,-17.850000381469727,5801.02001953125,0.07248879969120026
43,486776,-17.549999237060547,6050.7998046875,0.036183521151542664
44,512544,-17.1200008392334,6447.93994140625,0.009999999776482582
45,530080,-16.780000686645508,6727.43994140625,0.009999999776482582
46,554024,-16.399999618530273,7070.97021484375,0.009999999776482582
47,573904,-16.059999465942383,7392.75,0.009999999776482582
48,594044,-15.84000015258789,7639.97021484375,0.009999999776482582
49,619284,-15.729999542236328,7907.1298828125,0.009999999776482582
50,642632,-15.289999961853027,8333.5302734375,0.009999999776482582
51,670780,-14.949999809265137,8639.1904296875,0.009999999776482582
52,701256,-14.489999771118164,9227.3603515625,0.009999999776482582
53,729992,-14.210000038146973,9659.099609375,0.009999999776482582
54,763888,-13.960000038146973,10129.75,0.009999999776482582
55,807052,-13.40999984741211,10988.25,0.009999999776482582
56,856436,-13.050000190734863,11901.4697265625,0.009999999776482582
57,898188,-12.3100004196167,12733.01953125,0.009999999776482582
58,944492,-11.260000228881836,13900.9697265625,0.009999999776482582
59,979132,-10.8100004196167,14514.8603515625,0.009999999776482582
60,1020584,-10.529999732971191,14914.8798828125,0.009999999776482582
61,1063204,-10.069999694824219,15630.5703125,0.009999999776482582
62,1102308,-9.130000114440918,16117.83984375,0.009999999776482582
63,1149792,-8.3100004196167,16639.16015625,0.009999999776482582
64,1191328,-7.460000038146973,17017.44921875,0.009999999776482582
65,1231584,-7.019999980926514,17040.619140625,0.009999999776482582
66,1280684,-5.960000038146973,17074.810546875,0.009999999776482582
67,1317112,-4.849999904632568,17037.560546875,0.009999999776482582
68,1364688,-4.139999866485596,16914.80078125,0.009999999776482582
69,1406540,-2.630000114440918,17058.650390625,0.009999999776482582
70,1442860,-0.5,16861.919921875,0.009999999776482582
71,1466748,1.4700000286102295,16407.3203125,0.009999999776482582
72,1501068,2.7100000381469727,15873.0703125,0.009999999776482582
73,1532400,4.349999904632568,15477.0400390625,0.009999999776482582
74,1561804,6.320000171661377,14838.3896484375,0.009999999776482582
75,1582608,8.449999809265137,14124.419921875,0.009999999776482582
76,1607860,10.09000015258789,13290.990234375,0.009999999776482582
77,1633520,11.550000190734863,12591.9404296875,0.009999999776482582
78,1660988,12.640000343322754,11946.58984375,0.009999999776482582
79,1684056,13.829999923706055,11239.7802734375,0.009999999776482582
80,1710712,14.289999961853027,10964.2900390625,0.009999999776482582
81,1736788,14.720000267028809,10810.4599609375,0.009999999776482582
82,1768248,15.15999984741211,10718.6201171875,0.009999999776482582
83,1790808,15.729999542236328,10426.48046875,0.009999999776482582
84,1816304,15.850000381469727,10198.5302734375,0.009999999776482582
85,1836732,15.9399995803833,10252.9501953125,0.009999999776482582
86,1862464,16.049999237060547,10167.6201171875,0.009999999776482582
87,1882412,16.010000228881836,10056.7197265625,0.009999999776482582
88,1902388,16.649999618530273,9671.0498046875,0.009999999776482582
89,1921288,16.719999313354492,9468.3701171875,0.009999999776482582
90,1938440,16.93000030517578,9244.1904296875,0.009999999776482582
91,1959056,17.170000076293945,8937.330078125,0.009999999776482582
