,step,reward,episode_length
0,10240,-20.125,3860.0
1,20480,-20.36842155456543,3625.947265625
2,30720,-20.29032325744629,3705.38720703125
3,40960,-20.174999237060547,3731.550048828125
4,51200,-20.176469802856445,3725.490234375
5,61440,-20.161291122436523,3725.5
6,71680,-20.20270347595215,3710.472900390625
7,81920,-20.220930099487305,3679.56982421875
8,92160,-20.23958396911621,3684.385498046875
9,102400,-20.25,3673.669921875
10,112640,-20.15999984741211,3714.47998046875
11,122880,-20.200000762939453,3702.659912109375
12,133120,-20.260000228881836,3667.9599609375
13,143360,-20.260000228881836,3658.60009765625
14,153600,-20.270000457763672,3651.6201171875
15,163840,-20.280000686645508,3650.679931640625
16,174080,-20.260000228881836,3670.1201171875
17,184320,-20.270000457763672,3639.77001953125
18,194560,-20.239999771118164,3654.7900390625
19,204800,-20.270000457763672,3652.85009765625
20,215040,-20.209999084472656,3659.300048828125
21,225280,-20.25,3687.22998046875
22,235520,-20.280000686645508,3707.06005859375
23,245760,-20.229999542236328,3723.429931640625
24,256000,-20.25,3733.239990234375
25,266240,-20.209999084472656,3772.6201171875
26,276480,-20.139999389648438,3823.7900390625
27,286720,-20.100000381469727,3847.699951171875
28,296960,-20.110000610351562,3825.1298828125
29,307200,-20.06999969482422,3841.340087890625
30,317440,-20.040000915527344,3844.56005859375
31,327680,-19.950000762939453,3876.330078125
32,337920,-19.920000076293945,3897.139892578125
33,348160,-19.739999771118164,3967.580078125
34,358400,-19.68000030517578,4001.489990234375
35,368640,-19.579999923706055,4034.580078125
36,378880,-19.56999969482422,4062.110107421875
37,389120,-19.479999542236328,4126.72998046875
38,399360,-19.3799991607666,4223.06982421875
39,409600,-19.1299991607666,4356.77001953125
40,419840,-18.90999984741211,4500.2001953125
41,430080,-18.709999084472656,4621.18017578125
42,440320,-18.479999542236328,4774.47021484375
43,450560,-18.440000534057617,4830.7900390625
44,460800,-18.350000381469727,4973.2001953125
45,471040,-18.040000915527344,5179.7900390625
46,481280,-17.959999084472656,5302.2099609375
47,491520,-17.719999313354492,5449.2099609375
48,501760,-17.540000915527344,5557.91015625
49,512000,-17.15999984741211,5763.580078125
50,522240,-16.940000534057617,5916.7900390625
51,532480,-16.709999084472656,6035.3701171875
52,542720,-16.440000534057617,6192.41015625
53,552960,-16.31999969482422,6291.81982421875
54,563200,-16.059999465942383,6409.52978515625
55,573440,-15.869999885559082,6515.83984375
56,583680,-15.829999923706055,6564.72998046875
57,593920,-15.40999984741211,6774.0498046875
58,604160,-15.270000457763672,6872.7001953125
59,614400,-15.270000457763672,6891.83984375
60,624640,-14.600000381469727,7173.8701171875
61,634880,-14.4399995803833,7248.3798828125
62,645120,-14.229999542236328,7320.830078125
63,655360,-13.300000190734863,7609.490234375
64,665600,-13.319999694824219,7626.14990234375
65,675840,-12.989999771118164,7667.9501953125
66,686080,-12.930000305175781,7698.77978515625
67,696320,-12.140000343322754,7875.02978515625
68,706560,-12.09000015258789,7905.9501953125
69,716800,-12.039999961853027,7934.4599609375
70,727040,-11.390000343322754,8140.41015625
71,737280,-11.09000015258789,8200.1201171875
72,747520,-10.609999656677246,8235.759765625
73,757760,-10.199999809265137,8339.1103515625
74,768000,-10.550000190734863,8272.6201171875
75,778240,-10.649999618530273,8249.6904296875
76,788480,-9.270000457763672,8550.9697265625
77,798720,-9.319999694824219,8537.849609375
78,808960,-9.010000228881836,8586.9501953125
79,819200,-8.5600004196167,8654.0400390625
80,829440,-7.579999923706055,8817.349609375
81,839680,-7.380000114440918,8845.2998046875
82,849920,-7.630000114440918,8793.1201171875
83,860160,-6.869999885559082,9000.9599609375
84,870400,-6.829999923706055,9027.66015625
85,880640,-6.940000057220459,8980.5703125
86,890880,-6.889999866485596,9014.76953125
87,901120,-5.820000171661377,9370.98046875
88,911360,-5.639999866485596,9456.1201171875
89,921600,-5.150000095367432,9642.7802734375
90,931840,-5.150000095367432,9660.9501953125
91,942080,-4.809999942779541,9831.259765625
92,952320,-4.489999771118164,9977.1796875
93,962560,-4.260000228881836,10102.419921875
94,972800,-3.880000114440918,10303.1298828125
95,983040,-3.9600000381469727,10340.009765625
96,993280,-3.7300000190734863,10422.75
97,1003520,-3.5899999141693115,10550.1904296875
98,1013760,-3.380000114440918,10785.4404296875
99,1024000,-3.200000047683716,11025.2001953125
100,1034240,-3.369999885559082,11127.8798828125
101,1044480,-3.200000047683716,11211.5703125
102,1054720,-2.3299999237060547,11544.23046875
103,1064960,-1.8799999952316284,11778.509765625
104,1075200,-1.5800000429153442,11829.5595703125
105,1085440,-1.25,12010.759765625
106,1095680,-1.2300000190734863,12077.330078125
107,1105920,-0.8799999952316284,12254.2998046875
108,1116160,-0.7799999713897705,12362.099609375
109,1126400,-0.800000011920929,12390.66015625
110,1136640,-0.7599999904632568,12609.1201171875
111,1146880,-0.7599999904632568,12609.1201171875
112,1157120,-0.6299999952316284,12664.6396484375
113,1167360,-0.2800000011920929,12802.76953125
114,1177600,-0.2800000011920929,12802.76953125
115,1187840,0.03999999910593033,12896.0400390625
116,1198080,0.14000000059604645,12954.7900390625
117,1208320,0.20000000298023224,13021.900390625
118,1218560,0.6000000238418579,13137.6201171875
119,1228800,0.4699999988079071,13152.6298828125
120,1239040,0.699999988079071,13213.8095703125
121,1249280,0.7799999713897705,13266.8798828125
122,1259520,0.9200000166893005,13309.7197265625
123,1269760,1.0499999523162842,13385.8203125
124,1280000,0.9100000262260437,13413.1796875
125,1290240,1.0399999618530273,13413.0703125
126,1300480,1.3799999952316284,13613.740234375
127,1310720,1.5199999809265137,13648.33984375
128,1320960,1.7000000476837158,13607.6201171875
129,1331200,1.9800000190734863,13687.7998046875
130,1341440,2.0799999237060547,13698.080078125
131,1351680,2.4700000286102295,13714.150390625
132,1361920,2.809999942779541,13679.2099609375
133,1372160,2.9600000381469727,13636.83984375
134,1382400,3.2799999713897705,13642.73046875
135,1392640,3.440000057220459,13653.240234375
136,1402880,3.440000057220459,13653.240234375
137,1413120,3.930000066757202,13705.08984375
138,1423360,4.010000228881836,13695.01953125
139,1433600,4.050000190734863,13721.0595703125
140,1443840,4.139999866485596,13780.1396484375
141,1454080,4.139999866485596,13780.1396484375
142,1464320,4.619999885559082,13725.7099609375
143,1474560,4.699999809265137,13727.3203125
144,1484800,4.670000076293945,13722.7998046875
145,1495040,4.889999866485596,13756.8896484375
146,1505280,4.889999866485596,13756.8896484375
147,1515520,5.230000019073486,13764.9697265625
148,1525760,5.380000114440918,13739.8603515625
149,1536000,5.510000228881836,13734.23046875
